City,Cloudiness %,Country,Date,Humidity %,Latitude,Longitued,Max Temp (F),Wind Speed (mph)
Mataura,80,NZ,1570085941,89,-46.19,168.86,48.992000000000004,1.34
Carbonia,20,IT,1570085942,68,39.17,8.53,69.80000000000001,4.6
Abu Kamal,0,SY,1570085942,58,34.45,40.92,76.00999999999999,7.13
Bambous Virieux,75,MU,1570085942,88,-20.34,57.76,77.0,5.1
Busselton,66,AU,1570085943,33,-33.64,115.35,75.992,3.22
Shenjiamen,2,CN,1570085943,78,29.96,122.3,77.936,4.61
Castro,0,CL,1570085943,89,-42.48,-73.76,32.0,3.1
Xining,100,CN,1570085944,80,36.62,101.77,41.396,3.12
Bethel,1,US,1570085944,93,60.79,-161.76,44.6,2.6
Ribeira Grande,75,PT,1570085913,82,38.52,-28.7,64.4,1.0
Riyadh,0,SA,1570085945,23,24.63,46.72,96.8,1.0
Meadow Lake,0,CA,1570085945,94,54.13,-108.44,31.946,1.54
Eureka,90,US,1570085727,87,40.8,-124.16,51.998000000000005,2.1
Hithadhoo,100,MV,1570085946,78,-0.6,73.08,83.03,6.96
Caravelas,0,BR,1570085946,83,-17.73,-39.27,68.774,2.4
Severo-Kurilsk,99,RU,1570085947,96,50.68,156.12,47.786,6.48
Barrow,0,AR,1570085948,81,-38.31,-60.23,34.214,3.12
Goderich,99,CA,1570085948,80,43.74,-81.71,51.998000000000005,8.05
Torbay,90,CA,1570085948,93,47.66,-52.73,42.007999999999996,6.2
Kenmare,75,IE,1570085949,76,51.88,-9.58,55.400000000000006,5.1
Punta Arenas,0,CL,1570085949,75,-53.16,-70.91,41.0,9.3
Ballina,75,IE,1570085778,87,54.11,-9.15,48.992000000000004,7.2
Mar del Plata,0,AR,1570085722,54,-46.43,-67.52,43.232,4.63
Kodiak,90,US,1570085950,87,39.95,-94.76,55.400000000000006,4.6
Junction City,90,US,1570085950,81,39.03,-96.83,55.400000000000006,2.6
Faanui,27,PF,1570085951,80,-16.48,-151.75,78.098,7.09
Canon City,1,US,1570085951,45,39.46,-117.13,23.0,1.5
Vostok,100,RU,1570085952,96,46.45,135.83,54.122,1.87
Jamestown,8,AU,1570085722,16,-33.21,138.6,84.65,3.75
Nanortalik,100,GL,1570085952,69,60.14,-45.24,41.99,2.52
Narsaq,96,GL,1570085953,32,60.91,-46.05,51.8,9.8
Port Lincoln,70,AU,1570085953,86,-34.72,135.86,58.262,6.07
Cape Town,0,ZA,1570085954,82,-33.93,18.42,64.994,2.6
Rikitea,66,PF,1570085685,76,-23.12,-134.97,66.686,6.59
Marrakesh,0,MA,1570085954,72,31.63,-7.99,64.4,2.1
Artyom,100,RU,1570085954,77,43.36,132.19,64.4,7.0
Sur,1,OM,1570085955,38,22.57,59.53,96.098,5.3
San Patricio,100,PY,1570085955,97,-26.98,-56.83,67.424,2.59
Ayr,80,AU,1570085956,67,-19.58,147.4,75.992,4.92
Atuona,11,PF,1570085956,75,-9.8,-139.03,79.826,4.28
Pangnirtung,1,CA,1570085957,66,66.15,-65.72,23.414,1.66
Sao Filipe,41,CV,1570085957,84,14.9,-24.5,76.946,5.42
Kikwit,80,CD,1570085957,82,-5.04,18.82,74.102,0.2
Clyde River,90,CA,1570085958,97,70.47,-68.59,32.0,4.6
Marathon,72,CA,1570085958,78,48.72,-86.38,34.376,3.11
Ushuaia,0,AR,1570085958,65,-54.81,-68.31,41.0,11.8
Dikson,100,RU,1570085837,66,73.51,80.55,28.04,11.65
Tuktoyaktuk,100,CA,1570085959,89,69.44,-133.03,38.102000000000004,7.72
New Norfolk,0,AU,1570085872,19,-42.78,147.06,80.99600000000001,6.7
Arraial do Cabo,0,BR,1570085960,84,-22.97,-42.02,68.594,8.57
